,customerid,surname,creditscore,geography,gender,age,tenure,balance,numofproducts,hascrcard,isactivemember,estimatedsalary,exited
86,15762418,Gant,750,Spain,Male,22,3,121681.82,1,yes,no,128643.35,yes
87,15625759,Rowley,729,France,Male,30,9,0.0,2,yes,no,151869.35,no
88,15622897,Sharpe,646,France,Female,46,4,0.0,3,yes,no,93251.42,yes
89,15767954,Osborne,635,Germany,Female,28,3,81623.67,2,yes,yes,156791.36,no
90,15757535,Heap,647,Spain,Female,44,5,0.0,3,yes,yes,174205.22,yes
91,15731511,Ritchie,808,France,Male,45,7,118626.55,2,yes,no,147132.46,no
92,15809248,Cole,524,France,Female,36,10,0.0,2,yes,no,109614.57,no
93,15640635,Capon,769,France,Male,29,8,0.0,2,yes,yes,172290.61,no
94,15676966,Capon,730,Spain,Male,42,4,0.0,2,no,yes,85982.47,no
95,15699461,Fiorentini,515,Spain,Male,35,10,176273.95,1,no,yes,121277.78,no
96,15738721,Graham,773,Spain,Male,41,9,102827.44,1,no,yes,64595.25,no
97,15693683,Yuille,814,Germany,Male,29,8,97086.4,2,yes,yes,197276.13,no
98,15604348,Allard,710,Spain,Male,22,8,0.0,2,no,no,99645.04,no
99,15633059,Fanucci,413,France,Male,34,9,0.0,2,no,no,6534.18,no
100,15808582,Fu,665,France,Female,40,6,0.0,1,yes,yes,161848.03,no
101,15743192,Hung,623,France,Female,44,6,0.0,2,no,no,167162.43,no
102,15580146,Hung,738,France,Male,31,9,82674.15,1,yes,no,41970.72,no
103,15776605,Bradley,528,Spain,Male,36,7,0.0,2,yes,no,60536.56,no
104,15804919,Dunbabin,670,Spain,Female,65,1,0.0,1,yes,yes,177655.68,yes
105,15613854,Mauldon,622,Spain,Female,46,4,107073.27,2,yes,yes,30984.59,yes
106,15599195,Stiger,582,Germany,Male,32,1,88938.62,1,yes,yes,10054.53,no
107,15812878,Parsons,785,Germany,Female,36,2,99806.85,1,no,yes,36976.52,no
108,15602312,Walkom,605,Spain,Male,33,5,150092.8,1,no,no,71862.79,no
109,15744689,T'ang,479,Germany,Male,35,9,92833.89,1,yes,no,99449.86,yes
110,15803526,Eremenko,685,Germany,Male,30,3,90536.81,1,no,yes,63082.88,no
111,15665790,Rowntree,538,Germany,Male,39,7,108055.1,2,yes,no,27231.26,no
112,15715951,Thorpe,562,France,Male,42,2,100238.35,1,no,no,86797.41,no
113,15591100,Chiemela,675,Spain,Male,36,9,106190.55,1,no,yes,22994.32,no
114,15609618,Fanucci,721,Germany,Male,28,9,154475.54,2,no,yes,101300.94,yes
115,15675522,Ko,628,Germany,Female,30,9,132351.29,2,yes,yes,74169.13,no
116,15705512,Welch,668,Germany,Female,37,6,167864.4,1,yes,no,115638.29,no
117,15698028,Duncan,506,France,Female,41,1,0.0,2,yes,no,31766.3,no
118,15661670,Chidozie,524,Germany,Female,31,8,107818.63,1,yes,no,199725.39,yes
119,15600781,Wu,699,Germany,Male,34,4,185173.81,2,yes,no,120834.48,no
120,15682472,Culbreth,828,France,Male,34,8,129433.34,2,no,no,38131.77,no
121,15580203,Kennedy,674,Spain,Male,39,6,120193.42,1,no,no,100130.95,no
122,15690673,Cameron,656,France,Female,39,6,0.0,2,yes,no,141069.88,no
123,15760085,Calabresi,684,Germany,Female,48,10,126384.42,1,yes,yes,198129.36,no
124,15779659,Zetticci,625,France,Female,28,3,0.0,1,no,no,183646.41,no
125,15627360,Fuller,432,France,Male,42,9,152603.45,1,yes,no,110265.24,yes
126,15671137,MacDonald,549,France,Female,52,1,0.0,1,no,yes,8636.05,yes
127,15782688,Piccio,625,Germany,Male,56,0,148507.24,1,yes,no,46824.08,yes
128,15575492,Kennedy,828,France,Female,41,7,0.0,2,yes,no,171378.77,no
129,15591607,Fernie,770,France,Male,24,9,101827.07,1,yes,no,167256.35,no
130,15740404,He,758,France,Female,34,3,0.0,2,yes,yes,124226.16,no
131,15718369,Kaodilinakachukwu,795,Germany,Female,33,9,130862.43,1,yes,yes,114935.21,no
132,15677871,Cocci,687,France,Male,38,9,122570.87,1,yes,yes,35608.88,no
133,15642004,Alekseeva,686,France,Male,25,1,0.0,2,no,yes,16459.37,no
134,15712543,Chinweike,789,Germany,Male,39,7,124828.46,2,yes,yes,124411.08,no
135,15584518,Arthur,589,Germany,Female,50,5,144895.05,2,yes,yes,34941.23,no
136,15802381,Li,461,Germany,Female,34,5,63663.93,1,no,yes,167784.28,no
137,15610156,Ma,637,France,Male,40,2,133463.1,1,no,yes,93165.34,no
138,15594408,Chia,584,Spain,Female,48,2,213146.2,1,yes,no,75161.25,yes
139,15640905,Vasin,579,Spain,Female,35,1,129490.36,2,no,yes,8590.83,yes
140,15698932,Groves,756,Germany,Male,44,10,137452.09,1,yes,no,189543.9,no
141,15724944,Tien,663,France,Male,34,7,0.0,2,yes,yes,180427.24,no
142,15628145,Forwood,682,France,Female,43,5,125851.93,1,yes,yes,193318.33,no
143,15713483,Greeves,793,Spain,Male,52,2,0.0,1,yes,no,159123.82,yes
144,15612350,Taylor,691,France,Female,31,5,40915.55,1,yes,no,126213.84,yes
145,15800703,Madukwe,485,Spain,Female,21,5,113157.22,1,yes,yes,54141.5,no
146,15705707,Bennelong,635,Spain,Female,29,8,138296.94,2,yes,no,141075.51,no
147,15754105,Olisanugo,650,France,Male,37,5,106967.18,1,no,no,24495.03,no
148,15703264,Chukwufumnanya,735,France,Male,44,9,120681.63,1,yes,no,74836.34,no
149,15794413,Harris,416,France,Male,32,0,0.0,2,no,yes,878.87,no
150,15650237,Morgan,754,Spain,Female,32,7,0.0,2,yes,no,89520.75,no
151,15759618,Alexeeva,535,France,Female,48,9,0.0,1,yes,no,149892.79,yes
152,15811589,Metcalfe,716,Spain,Male,42,8,0.0,2,yes,no,180800.42,no
153,15689044,Humphries,539,France,Male,37,2,127609.59,1,yes,no,98646.22,no
154,15709368,Milne,614,France,Female,43,6,0.0,2,yes,yes,109041.53,no
155,15679145,Chou,706,Spain,Male,57,7,0.0,1,yes,no,17941.16,yes
156,15655007,Li,758,France,Female,33,7,0.0,2,no,no,82996.47,no
157,15623595,Clayton,586,Spain,Female,28,2,0.0,2,yes,yes,92067.35,no
158,15589975,Maclean,646,France,Female,73,6,97259.25,1,no,yes,104719.66,no
159,15804017,Chigolum,631,Germany,Female,33,4,123246.7,1,no,no,112687.57,no
160,15692132,Wilkinson,717,Spain,Female,22,6,101060.25,1,no,yes,84699.56,no
161,15641122,Wei,684,France,Male,30,2,0.0,2,yes,no,83473.82,no
162,15630910,Treacy,800,France,Female,49,7,108007.36,1,no,no,47125.11,no
163,15680772,Hu,721,Spain,Female,36,2,0.0,2,yes,yes,106977.8,no
164,15658929,Taverner,683,Spain,Male,29,0,133702.89,1,yes,no,55582.54,yes
165,15585388,Sherman,660,Germany,Male,31,9,125189.75,2,yes,yes,139874.43,no
166,15724623,Taubman,704,Germany,Female,24,7,113034.22,1,yes,no,162503.48,yes
167,15588537,Robinson,615,Spain,Female,41,9,109013.23,1,yes,no,196499.96,no
168,15574692,Pinto,667,Spain,Female,39,2,0.0,2,yes,no,40721.24,yes
169,15611325,Wood,682,Germany,Male,24,9,57929.81,2,no,no,53134.3,no
170,15587562,Hawkins,484,France,Female,29,4,130114.39,1,yes,no,164017.89,no
171,15613172,Sun,628,Germany,Male,27,5,95826.49,2,yes,no,155996.96,no
172,15651022,Yost,480,Germany,Male,44,10,129608.57,1,yes,no,5472.7,yes
173,15586310,Ting,578,France,Male,30,4,169462.09,1,yes,no,112187.11,no
174,15625524,Rowe,512,France,Male,40,5,0.0,2,yes,yes,146457.83,no
175,15755209,Fu,484,Spain,Female,35,7,133868.21,1,yes,yes,27286.1,no
176,15645248,Ho,510,France,Female,30,0,0.0,2,yes,yes,130553.47,no
177,15790355,Okechukwu,606,Germany,Male,36,5,190479.48,2,no,no,179351.89,no
178,15762615,Campbell,597,Spain,Female,40,8,101993.12,1,no,yes,94774.12,no
179,15625426,Ashbolt,754,Germany,Female,55,3,161608.81,1,yes,no,8080.85,yes
180,15716334,Rozier,850,Spain,Female,45,2,122311.21,1,yes,yes,19482.5,no
181,15789669,Hsia,510,France,Male,65,2,0.0,2,yes,yes,48071.61,no
182,15621075,Ogbonnaya,778,Germany,Female,45,1,162150.42,2,yes,no,174531.27,no
183,15810845,T'ang,636,France,Male,42,2,0.0,2,yes,yes,55470.78,no
184,15719377,Cocci,804,France,Female,50,4,0.0,1,yes,yes,8546.87,yes
185,15654506,Chang,514,France,Male,32,8,0.0,2,yes,no,95857.18,no
186,15771977,T'ao,730,France,Female,39,1,99010.67,1,yes,no,194945.8,no
187,15708710,Ford,525,Spain,Female,37,0,0.0,1,no,yes,131521.72,no
188,15726676,Marshall,616,Spain,Male,30,5,0.0,2,no,yes,196108.51,no
189,15587421,Tsai,687,Germany,Female,34,7,111388.18,2,yes,no,148564.76,no
190,15726931,Onwumelu,715,France,Female,41,8,56214.85,2,no,no,92982.61,yes
191,15771086,Graham,512,France,Female,36,3,84327.77,2,yes,no,17675.36,no
192,15756850,Golovanov,479,France,Male,40,1,0.0,2,no,no,114996.43,no
193,15702741,Potts,601,France,Male,32,8,93012.89,1,yes,no,86957.42,no
194,15679200,Crawford,580,Spain,Male,29,9,61710.44,2,yes,no,128077.8,no
195,15594815,Aleshire,807,France,Male,35,3,174790.15,1,yes,yes,600.36,no
196,15635905,Moran,616,Spain,Female,32,6,0.0,2,yes,yes,43001.46,no
197,15777892,Samsonova,721,Germany,Male,37,3,107720.64,1,yes,yes,158591.12,no
198,15656176,Jenkins,501,France,Male,57,10,0.0,2,yes,yes,47847.19,no
199,15811127,Volkov,521,France,Male,35,6,96423.84,1,yes,no,10488.44,no
200,15604482,Chiemezie,850,Spain,Male,30,2,141040.01,1,yes,yes,5978.2,no
201,15622911,Jude,759,France,Male,42,4,105420.18,1,no,yes,121409.06,no
202,15600974,He,516,Spain,Male,50,5,0.0,1,no,yes,146145.93,yes
203,15727868,Onuora,711,France,Female,38,2,129022.06,2,yes,yes,14374.86,yes
204,15627801,Ginikanwa,512,Spain,Male,33,3,176666.62,1,yes,no,94670.77,no
205,15773039,Ku,550,France,Male,37,3,0.0,1,yes,yes,179670.31,no
206,15755262,McDonald,608,Spain,Female,41,3,89763.84,1,no,no,199304.74,yes
207,15679531,Collins,618,France,Male,34,5,134954.53,1,yes,yes,151954.39,no
208,15684181,Hackett,643,France,Male,45,5,0.0,1,yes,no,142513.5,yes
209,15612087,Dike,671,France,Male,45,2,106376.85,1,no,yes,158264.62,no
210,15752047,Trevisano,689,Germany,Male,33,2,161814.64,2,yes,no,169381.9,no
211,15624592,Tan,603,France,Male,31,8,0.0,2,yes,yes,169915.02,no
212,15573152,Glassman,620,France,Female,41,9,0.0,2,no,no,88852.47,no
213,15594917,Miller,676,France,Female,34,1,63095.01,1,yes,yes,40645.81,no
214,15785542,Kornilova,572,Germany,Male,26,4,118287.01,2,no,no,60427.3,no
215,15723488,Watson,668,Germany,Male,47,7,106854.21,1,no,yes,157959.02,yes
216,15680920,Marchesi,695,France,Male,46,7,49512.55,1,yes,no,133007.34,no
217,15786308,Millar,730,Spain,Female,33,9,0.0,2,no,no,176576.62,no
218,15659366,Shih,807,France,Male,43,1,105799.32,2,yes,no,34888.04,yes
219,15774854,Fuller,592,France,Male,54,8,0.0,1,yes,yes,28737.71,yes
220,15725311,Hay,726,France,Female,31,9,114722.05,2,yes,yes,98178.57,no
221,15787155,Yang,514,Spain,Male,30,7,0.0,1,no,yes,125010.24,no
222,15727829,McIntyre,567,France,Male,42,2,0.0,2,yes,yes,167984.61,no
223,15733247,Stevenson,850,France,Male,33,10,0.0,1,yes,no,4861.72,yes
224,15568748,Poole,671,Germany,Male,45,6,99564.22,1,yes,yes,108872.45,yes
225,15699029,Bagley,670,France,Male,37,4,170557.91,2,yes,no,198252.88,no
226,15774393,Ch'ien,694,France,Female,30,9,0.0,2,yes,yes,26960.31,no
227,15676895,Cattaneo,547,Germany,Female,39,6,74596.15,3,yes,yes,85746.52,yes
228,15637753,O'Sullivan,751,Germany,Male,50,2,96888.39,1,yes,no,77206.25,yes
229,15605461,Lucas,594,Germany,Female,29,3,130830.22,1,yes,no,61048.53,no
230,15808473,Ringrose,673,France,Male,72,1,0.0,2,no,yes,111981.19,no
231,15627000,Freeman,610,France,Male,40,0,0.0,2,yes,no,62232.6,no
232,15787174,Sergeyev,512,France,Female,37,1,0.0,2,no,yes,156105.03,no
233,15723886,Fiore,767,Germany,Male,20,3,119714.25,2,no,yes,150135.38,no
234,15704769,Smith,585,France,Female,67,5,113978.97,2,no,yes,93146.11,no
235,15772896,Dumetochukwu,763,Germany,Male,42,6,100160.75,1,yes,no,33462.94,yes
236,15711540,Pacheco,712,France,Female,29,2,0.0,1,yes,yes,144375.0,no
237,15764866,Synnot,539,Germany,Female,43,3,116220.5,3,yes,no,55803.96,yes
238,15794056,Johnston,668,France,Female,46,2,0.0,3,yes,no,89048.46,yes
239,15795149,Stevens,703,France,Male,28,2,81173.83,2,no,yes,162812.16,no
240,15812009,Grant,662,Spain,Male,38,4,0.0,2,yes,no,136259.65,no
241,15651001,Tsao,725,Germany,Female,39,5,116803.8,1,yes,no,124052.97,no
242,15813844,Barnes,703,France,Male,37,8,105961.68,2,no,yes,74158.8,no
243,15596175,McIntosh,659,Germany,Male,67,6,117411.6,1,yes,yes,45071.09,yes
244,15576269,Madison,523,Spain,Male,34,7,0.0,2,yes,no,62030.06,no
245,15797219,Ifesinachi,635,France,Female,40,10,123497.58,1,yes,no,131953.23,yes
246,15685500,Glazkov,772,Germany,Male,26,7,152400.51,2,yes,no,79414.0,no
247,15599792,Dimauro,545,France,Female,26,1,0.0,2,yes,yes,199638.56,no
248,15657566,Wieck,634,Germany,Male,24,8,103097.85,1,yes,yes,157577.29,no
249,15772423,Liao,739,Germany,Male,54,8,126418.14,1,yes,no,134420.75,yes
250,15628112,Hughes,771,Germany,Female,36,5,77846.9,1,no,no,99805.99,no
251,15753754,Morrison,587,Spain,Female,34,1,0.0,2,yes,yes,97932.68,no
252,15793726,Matveyeva,681,France,Female,79,0,0.0,2,no,yes,170968.99,no
253,15694717,Ku,544,Germany,Male,37,2,79731.91,1,yes,yes,57558.95,no
254,15665834,Cheatham,696,Spain,Male,28,8,0.0,1,no,no,176713.47,no
255,15765297,Yao,766,Spain,Male,41,0,0.0,2,no,yes,34283.23,no
256,15636684,Kirkland,727,France,Male,34,10,0.0,2,yes,yes,198637.34,no
257,15592979,Rose,671,Germany,Female,34,6,37266.67,2,no,no,156917.12,no
258,15750803,Jess,693,France,Female,30,6,127992.25,1,yes,yes,50457.2,no
259,15607178,Welch,850,Germany,Male,38,3,54901.01,1,yes,yes,140075.55,no
260,15713853,Ifeajuna,732,Germany,Male,42,9,108748.08,2,yes,yes,65323.11,no
261,15673481,Morton,726,Spain,Female,48,6,99906.19,1,yes,no,64323.24,no
262,15686776,Rossi,557,France,Female,32,6,184686.41,2,yes,no,14956.44,no
263,15673693,Reppert,682,France,Female,26,0,110654.02,1,no,yes,111879.21,no
264,15700696,Kang,738,Spain,Male,31,9,79019.8,1,yes,yes,18606.23,no
265,15813163,Ch'iu,531,Spain,Female,36,9,99240.51,1,yes,no,123137.01,no
266,15653857,Wallis,498,France,Male,34,2,0.0,2,yes,yes,148528.24,no
267,15777076,Clark,651,France,Male,36,7,0.0,2,yes,no,13898.31,no
268,15717398,Fielding,549,Spain,Female,39,7,0.0,1,no,no,81259.25,yes
269,15799217,Zetticci,791,Germany,Female,35,7,52436.2,1,yes,no,161051.75,no
270,15787071,Dulhunty,650,Spain,Male,41,9,0.0,2,no,yes,191599.67,no
271,15619955,Bevington,733,Germany,Male,34,3,100337.96,3,yes,no,48559.19,yes
272,15796505,Boyle,811,Germany,Female,34,1,149297.19,2,yes,yes,186339.74,no
273,15725166,Newton,707,France,Male,30,8,0.0,2,yes,no,33159.37,no
274,15800116,Bowman,712,Germany,Male,28,4,145605.44,1,no,yes,93883.53,no
275,15758685,Dubinina,706,Spain,Female,37,7,0.0,2,yes,yes,110899.3,no
276,15694456,Toscani,756,France,Male,62,3,0.0,1,yes,yes,11199.04,yes
277,15767339,Chiazagomekpere,777,France,Female,53,10,0.0,2,yes,no,189992.97,no
278,15683562,Allen,646,France,Male,35,6,84026.86,1,no,yes,164255.69,no
279,15782210,K'ung,714,France,Male,46,1,0.0,1,yes,no,152167.79,yes
280,15668893,Wilsmore,782,France,Male,39,8,0.0,2,yes,yes,33949.67,no
281,15669169,Hargreaves,775,Spain,Male,29,10,0.0,2,yes,yes,68143.93,no
282,15643024,Huang,479,Germany,Male,35,4,138718.92,1,yes,yes,47251.79,yes
283,15699389,Ch'ien,807,France,Male,42,7,118274.71,1,yes,yes,25885.72,no
284,15708608,Wallwork,799,France,Female,22,8,174185.98,2,no,yes,192633.85,no
285,15626144,Chu,675,France,Male,40,7,113208.86,2,yes,no,34577.36,no
286,15573112,Kang,602,Spain,Male,29,5,103907.28,1,yes,no,161229.84,no
287,15790678,Davidson,475,France,Female,32,8,119023.28,1,yes,no,100816.29,no
288,15727556,O'Donnell,744,Spain,Female,26,5,166297.89,1,yes,yes,181694.44,no
289,15697307,Nnachetam,588,Spain,Male,34,10,0.0,2,yes,no,79078.91,no
290,15652266,Chidiebele,703,Germany,Male,42,9,63227.0,1,no,yes,137316.32,no
291,15607098,Ahmed,747,Spain,Female,41,5,94521.17,2,yes,no,194926.86,no
292,15655774,Booth,583,France,Male,27,7,0.0,2,yes,no,51285.49,no
293,15590241,Chuang,750,Spain,Female,34,9,112822.26,1,no,no,150401.53,yes
294,15785819,Shao,681,France,Male,38,3,0.0,2,yes,yes,112491.96,no
295,15723654,Tsao,773,France,Male,25,2,135903.33,1,yes,no,73656.38,no
296,15774510,Tien,714,France,Female,31,4,125169.26,1,yes,yes,106636.89,no
297,15684173,Chang,687,Spain,Female,44,7,0.0,3,yes,no,155853.52,yes
298,15650068,Johnson,511,France,Male,58,0,149117.31,1,yes,yes,162599.51,no
299,15811490,French,627,France,Male,33,5,0.0,2,yes,yes,103737.82,no
300,15803976,Efremov,694,France,Female,31,10,0.0,2,yes,no,160990.27,no
301,15682541,Hartley,616,Spain,Female,36,6,132311.71,1,no,no,15462.84,no
302,15695699,Calabrese,687,France,Male,35,8,0.0,2,yes,no,10334.05,no
303,15624188,Chiu,712,France,Female,33,6,0.0,2,yes,yes,190686.16,no
304,15812191,Brennan,553,France,Male,33,4,118082.89,1,no,no,94440.45,no
305,15636673,Onwuatuegwu,667,France,Male,31,1,119266.69,1,yes,yes,28257.63,no
306,15594898,Hewitt,731,France,Male,43,2,0.0,1,yes,yes,170034.95,yes
307,15660211,Shih,629,Germany,Male,35,7,156847.29,2,yes,no,31824.29,no
308,15773972,Balashov,614,France,Male,50,4,137104.47,1,yes,no,127166.49,yes
309,15746726,Doyle,438,Germany,Male,31,8,78398.69,1,yes,no,44937.01,no
310,15712287,Pokrovskii,652,France,Female,80,4,0.0,2,yes,yes,188603.07,no
311,15702919,Collins,729,Germany,Male,30,6,63669.42,1,yes,no,145111.37,no
312,15674398,Russo,642,France,Male,38,3,0.0,2,no,no,171463.83,no
313,15797960,Skinner,806,Germany,Female,59,0,135296.33,1,yes,no,182822.5,no
314,15631868,Robertson,744,Spain,Male,36,2,153804.44,1,yes,yes,87213.33,no
315,15581539,Atkinson,474,Spain,Male,37,3,0.0,2,no,no,57175.32,no
316,15662736,Doyle,559,France,Male,49,2,147069.78,1,yes,no,120540.83,yes
317,15666252,Ritchie,706,Spain,Male,42,9,0.0,2,yes,yes,28714.34,no
318,15677512,McEncroe,628,Spain,Female,22,3,0.0,1,yes,no,85426.28,no
319,15626114,Pearson,429,France,Male,24,4,95741.75,1,yes,no,46170.75,no
320,15810834,Gordon,525,Spain,Female,57,2,145965.33,1,yes,yes,64448.36,no
321,15678910,Ts'ai,680,France,Female,30,8,141441.75,1,yes,yes,16278.97,no
322,15694408,Lung,749,France,Male,40,1,139290.41,1,yes,no,182855.42,yes
323,15585215,Yuan,763,France,Female,31,4,0.0,2,no,no,50404.72,no
324,15682757,Pardey,734,France,Male,30,3,0.0,2,yes,no,107640.25,no
325,15736601,Tai,716,France,Male,35,4,144428.87,1,yes,no,134132.65,no
326,15601848,Scott,594,France,Male,35,2,0.0,2,yes,no,103480.69,no
327,15736008,Hunter,644,France,Female,46,9,95441.27,1,yes,no,108761.05,yes
